id,"Accessory","Class","Headgear Accessory","Suit Accessory","Scrawls","Phase","Location","Suit Color","Suit Pattern","Suit","Headgear","Totem","Backpack","Suit Accessories","Graphic"
2255,"The Shriek","Drifter","None","None","None","Phase 2","The Void","Gray","Scripture","Kreegal Cloak","Good King Maude","Yellow Drippy Charm","Bobpack","Heavy Duty Regulator","Freebooters Flag"
2256,"The Koltso","Drifter","None","None","Yes","Phase 2","The Void","Gray","Solid","Vayon Worksuit","The Scaper","None","Little Huffy","Heavy Duty Regulator","The Man Earlie Expeditionary Society"
2257,"Bolt Harp","Drifter","None","None","None","Phase 2","The Void","Yellow","Cowl","Smocker","Headforge","White Drippy Charm","Caddypack","None","Engineers Guild"
2258,"The Spunker","Drifter","Driftcore Shades","None","None","Phase 2","The Void","Gray","Arvis Edition","Deverin Jacket","BC Shiner","Light Grey Suit Integrity Amulet","Fancypack","Heavy Duty Regulator","Orbital Miners Guild"
2259,"The (Fat) Koltso","Drifter","None","None","Yes","Phase 2","The Void","Green","Cap Flag","Smocker","Rustler's Braincage","Yellow Air Supply Amulet","Little Huffy","Multiband Regulator","Mesmegraph"
2260,"Thruster","Drifter","None","None","None","Phase 2","The Void","Blue","Cowl","Smocker","Good King Maude","None","None","None","Beshtala Expatriation Roster"
2261,"The (Fat) Koltso","Drifter","None","None","None","Phase 2","The Void","Red","Solid","Kreegal Cloak","Hardhat","None","The Sink","Heavy Duty Regulator","No Damage"
2262,"The Nozzle","Drifter","None","None","None","Phase 2","The Void","Green","Cowl","Smocker","The Stalker","Dark Grey Decontamination Amulet","Fancypack","Encased Regulator","Beshtala-Chanko"
2263,"The Shriek","Drifter","None","None","None","Phase 2","The Void","White","Ricochet","Vayon Worksuit","Boxhead","Light Grey Milo Charm","Bobpack","Heavy Duty Regulator","Survivalist Guild"
2264,"The (Fat) Koltso","Drifter","None","None","None","Phase 2","The Void","Gray","Scripture","Kreegal Cloak","Good King Maude","Medium Grey Drippy Charm","The Sink","Multiband Regulator","No Damage"
2265,"Steady Hammer","Drifter","None","None","None","Phase 2","The Void","Yellow","Sacred Passage","Smocker","Boxhead","None","Bobpack","Heavy Duty Regulator","The Man Earlie Expeditionary Society"
2266,"Trunker","Drifter","None","None","None","Phase 2","The Void","Green","Solid","Deverin Jacket","The Scaper","Medium Grey Sanity Amulet","Caddypack","Heavy Duty Regulator","Cross of the Round Power"
2267,"Faulk's Icepick","Drifter","None","None","None","Phase 2","The Void","Green","Solid","Prongshell","Kipper","Light Grey Air Supply Amulet","None","None","The Man Earlie Expeditionary Society"
2268,"Hull Hooker","Drifter","None","None","Yes","Phase 2","The Void","Green","Sacred Passage","Smocker","Hardhat","White Suit Integrity Amulet","Caddypack","Heavy Duty Regulator","No Damage"
2269,"Hull Breacher","Drifter","None","None","None","Phase 2","The Void","Green","Foss","Vayon Worksuit","Boxhead","None","None","Fine Tool Harness","Mercenary"
2270,"Faulk's Icepick","Drifter","None","None","Yes","Phase 2","The Void","White","Ricochet","Vayon Worksuit","The Spyhopper","Light Grey Air Supply Amulet","Caddypack","Heavy Duty Regulator","The Bench"
2271,"The Shriek","Drifter","None","None","None","Phase 2","The Void","Red","Cap Flag","Smocker","Rustler's Braincage","None","Fancypack","None","Dugall Freight"
2272,"Cove Carver","Drifter","None","None","Yes","Phase 2","The Void","Yellow","Sacred Passage","Smocker","Good King Maude","Yellow Drippy Charm","Caddypack","Heavy Duty Regulator","The Path"
2273,"The Koltso","Drifter","None","None","Yes","Phase 2","The Void","Gray","Chords","Smocker","BC Shiner","None","Little Huffy","Encased Regulator","Slash Patcher"
2274,"Steady Hammer","Drifter","None","None","None","Phase 2","The Void","Black","Strapt","Duggie","Hardhat","None","Fancypack","Simple Regulator","No Damage"
2275,"Trunker","Drifter","None","None","None","Phase 2","The Void","Gray","Solid","Vayon Worksuit","Rustler's Braincage","Medium Grey Sanity Amulet","The Sink","Fine Tool Harness","League of Channel"
2276,"The Koltso","Drifter","None","None","None","Phase 2","The Void","Yellow","Solid","Deverin Jacket","Rustler's Braincage","Light Grey Suit Integrity Amulet","The Sink","Heavy Duty Regulator","Dugall Freight"
2277,"Prongseat","Drifter","None","None","None","Phase 2","The Void","Red","Foss","Vayon Worksuit","Rustler's Braincage","Light Grey Decontamination Amulet","None","None","Longhaulers"
2278,"The Nozzle","Drifter","Leergear","None","Yes","Phase 2","The Void","Gray","Scripture","Kreegal Cloak","The Pillowcase","White Air Supply Amulet","Little Huffy","Heavy Duty Regulator","Machinist Social Club"
2279,"The Shriek","Drifter","None","None","None","Phase 2","The Void","Black","Chords","Smocker","Hangtooth","Dark Grey Sanity Amulet","Bobpack","Simple Regulator","Dugall Freight"
2280,"Trunker","Drifter","None","None","None","Phase 2","The Void","Yellow","Arvis Edition","Deverin Jacket","Hardhat","Medium Grey Sanity Amulet","Fancypack","Multiband Regulator","Cove Stalkers"
2281,"The (Fat) Koltso","Drifter","None","None","Yes","Phase 2","The Void","White","Ricochet","Vayon Worksuit","Rustler's Braincage","Medium Grey Drippy Charm","Caddypack","Heavy Duty Regulator","The Pyramid Order"
2282,"Hull Breacher","Drifter","None","None","Yes","Phase 2","The Void","Red","Sacred Passage","Smocker","Hangtooth","None","Caddypack","Encased Regulator","The Bench"
2283,"The Spunker","Drifter","Hypervisor","None","None","Phase 2","The Void","Yellow","Arvis Edition","Deverin Jacket","The Pillowcase","Light Grey Milo Charm","The Sink","Multiband Regulator","Combustible"
2284,"Hull Breacher","Drifter","None","None","None","Phase 2","The Void","Gray","Solid","Vayon Worksuit","The Spyhopper","Medium Grey Sanity Amulet","Bobpack","Encased Regulator","Dark Ether House"
2285,"Faulk's Icepick","Drifter","None","None","None","Phase 2","The Void","Black","Solid","Vayon Worksuit","Kipper","Light Grey Air Supply Amulet","Caddypack","Heavy Duty Regulator","Orbital Miners Guild"
2286,"Steady Hammer","Drifter","None","None","None","Phase 2","The Void","Gray","Solid","Smocker","Rustler's Braincage","None","The Sink","Multiband Regulator","The Man Earlie Expeditionary Society"
2287,"The (Fat) Koltso","Drifter","None","None","Yes","Phase 2","The Void","Red","Cap Flag","Smocker","Hangtooth","Red Air Supply Amulet","Little Huffy","None","Dugall Freight"
2288,"Bolt Harp","Drifter","None","None","None","Phase 2","The Void","Yellow","Sacred Passage","Smocker","Headforge","Light Grey Suit Integrity Amulet","The Sink","Heavy Duty Regulator","Cathedral"
2289,"Death Beam","Drifter","None","None","None","Phase 2","The Void","Gray","Sacred Passage","Smocker","The Pillowcase","None","None","None","Cathedral"
2290,"Trunker","Drifter","Leergear","None","Yes","Phase 2","The Void","Red","Solid","Kreegal Cloak","Kipper","Yellow Air Supply Amulet","Little Huffy","Multiband Regulator","Venonauts"
2291,"Death Beam","Drifter","None","None","None","Phase 2","The Void","Green","Foss","Vayon Worksuit","The Stalker","None","None","None","Beshtala-Chanko"
2292,"The Koltso","Drifter","None","None","None","Phase 2","The Void","Red","Sacred Passage","Smocker","Soup Gagers","Dark Grey Decontamination Amulet","Bobpack","Encased Regulator","Margul"
2293,"The Shriek","Drifter","None","None","Yes","Phase 2","The Void","Red","Solid","Deverin Jacket","Puffy Face","Dark Grey Sanity Amulet","Little Huffy","Simple Regulator","Subsurface Miners Guild"
2294,"Hull Breacher","Drifter","Leergear","None","None","Phase 2","The Void","White","Foss","Vayon Worksuit","BC Shiner","None","None","None","The Pyramid Order"
2295,"The Shriek","Drifter","None","None","None","Phase 2","The Void","Yellow","Arvis Edition","Deverin Jacket","Hangtooth","Medium Grey Sanity Amulet","Bobpack","Multiband Regulator","The Bench"
2296,"The Nozzle","Drifter","None","None","Yes","Phase 2","The Void","Green","Sacred Passage","Smocker","Hardhat","None","Little Huffy","Heavy Duty Regulator","Beshtala Expatriation Roster"
2297,"Chainflicker","Drifter","Leergear","None","Yes","Phase 2","The Void","White","Arvis Edition","Deverin Jacket","Kipper","None","Little Huffy","Heavy Duty Regulator","Beshtala Expatriation Roster"
2298,"Steady Hammer","Drifter","None","None","None","Phase 2","The Void","Yellow","Cap Flag","Smocker","Trailmaker","Light Grey Suit Integrity Amulet","The Sink","Heavy Duty Regulator","Mol Bon Tunnel"
2299,"The Nozzle","Drifter","None","None","Yes","Phase 2","The Void","Yellow","Cap Flag","Smocker","Hardhat","None","Little Huffy","Heavy Duty Regulator","Longhaulers"
2300,"Chainflicker","Drifter","Hypervisor","None","None","Phase 2","The Void","Black","Chords","Smocker","Kipper","Dark Grey Drippy Charm","Fancypack","Multiband Regulator","Cathedral"
2301,"The Shriek","Drifter","None","None","Yes","Phase 2","The Void","Gray","Solid","Vayon Worksuit","Rustler's Braincage","None","Little Huffy","Heavy Duty Regulator","The Man Earlie Expeditionary Society"
2302,"Wedge","Drifter","None","None","None","Phase 2","The Void","Green","Sacred Passage","Smocker","Kipper","None","None","None","Beshtala Expatriation Roster"
2303,"The (Fat) Koltso","Drifter","None","None","None","Phase 2","The Void","Gray","Solid","Vayon Worksuit","Kipper","White Air Supply Amulet","Fancypack","Multiband Regulator","Beshtala Expatriation Roster"
2304,"The Koltso","Drifter","None","None","Yes","Phase 2","The Void","Gray","Chords","Smocker","The Pillowcase","Light Grey Air Supply Amulet","Little Huffy","Simple Regulator","The Forsaken"
2305,"Hole Puncher","Drifter","None","None","Yes","Phase 2","The Void","Black","Solid","Vayon Worksuit","The Stalker","None","Little Huffy","Multiband Regulator","The Path"
2306,"Prongseat","Drifter","Driftcore Shades","None","None","Phase 2","The Void","Black","Solid","Vayon Worksuit","The Pillowcase","None","None","Utility Vest","Engineers Guild"
2307,"The Nozzle","Drifter","None","None","None","Phase 2","The Void","Red","Solid","Kreegal Cloak","Good King Maude","Light Grey Suit Integrity Amulet","The Sink","Multiband Regulator","Cross of the Round Power"
2308,"Trunker","Drifter","None","None","Yes","Phase 2","The Void","Red","Solid","Kreegal Cloak","Trailmaker","Medium Grey Sanity Amulet","Little Huffy","Multiband Regulator","Mercenary"
2309,"The (Fat) Koltso","Drifter","None","None","None","Phase 2","The Void","Yellow","Solid","Deverin Jacket","Boxhead","None","Fancypack","Multiband Regulator","Lighthouse Sept"
2310,"The (Fat) Koltso","Drifter","None","None","None","Phase 2","The Void","Gray","Solid","Vayon Worksuit","Boxhead","Medium Grey Drippy Charm","Fancypack","Multiband Regulator","House of Ourbous"
2311,"Hull Hooker","Drifter","None","None","None","Phase 2","The Void","Gray","Solid","Vayon Worksuit","Kipper","None","Bobpack","Heavy Duty Regulator","The Path"
2312,"Steady Hammer","Drifter","None","None","None","Phase 2","The Void","Red","Cap Flag","Smocker","Headforge","Light Grey Milo Charm","The Sink","None","Margul"
2313,"Ball Claw","Drifter","None","None","Yes","Phase 2","The Void","White","Solid","Deverin Jacket","Puffy Face","Red Milo Charm","Caddypack","Simple Regulator","Lighthouse Sept"
2314,"Cove Carver","Drifter","None","None","Yes","Phase 2","The Void","Green","Sacred Passage","Smocker","Hardhat","Yellow Air Supply Amulet","Little Huffy","Simple Regulator","Orbital Miners Guild"
2315,"Roulette","Drifter","None","None","None","Phase 2","The Void","Gray","Arvis Edition","Deverin Jacket","BC Shiner","White Drippy Charm","Fancypack","Heavy Duty Regulator","Longhaulers"
2316,"The Nozzle","Drifter","None","None","None","Phase 2","The Void","Black","Solid","Vayon Worksuit","Hardhat","Dark Grey Drippy Charm","Fancypack","Utility Vest","The Pyramid Order"
2317,"The Shriek","Drifter","None","None","Yes","Phase 2","The Void","Red","Cowl","Smocker","Good King Maude","None","Little Huffy","None","League of Channel"
2318,"The Nozzle","Drifter","None","None","None","Phase 2","The Void","Green","Cap Flag","Smocker","The Spyhopper","Light Grey Suit Integrity Amulet","The Sink","None","Mesmegraph"
2319,"The (Fat) Koltso","Drifter","None","None","None","Phase 2","The Void","Red","Cap Flag","Smocker","Boxhead","Medium Grey Drippy Charm","Fancypack","Heavy Duty Regulator","Lighthouse Sept"
2320,"Bolt Harp","Drifter","None","None","None","Phase 2","The Void","Red","Cap Flag","Smocker","Kipper","Red Sanity Amulet","The Sink","Multiband Regulator","Cross of the Round Power"
2321,"Hull Breacher","Drifter","Hypervisor","None","None","Phase 2","The Void","Yellow","Solid","Deverin Jacket","BC Shiner","None","The Sink","Heavy Duty Regulator","Subsurface Miners Guild"
2322,"Hull Breacher","Drifter","None","None","None","Phase 2","The Void","Gray","Solid","Deverin Jacket","Boxhead","None","The Sink","Simple Regulator","House of Ourbous"
2323,"The Nozzle","Drifter","None","None","None","Phase 2","The Void","Yellow","Solid","Deverin Jacket","The Stalker","Light Grey Suit Integrity Amulet","The Sink","Heavy Duty Regulator","Dugall Freight"
2324,"Thruster","Drifter","None","None","None","Phase 2","The Void","Black","Solid","Vayon Worksuit","Hangtooth","None","The Sink","Multiband Regulator","Dugall Freight"
2325,"Trunker","Drifter","None","None","None","Phase 2","The Void","Green","Cap Flag","Smocker","Hangtooth","Medium Grey Sanity Amulet","Fancypack","Multiband Regulator","Cross of the Round Power"
2326,"The Nozzle","Drifter","None","None","None","Phase 2","The Void","White","Solid","Deverin Jacket","The Stalker","None","The Sink","Fine Tool Harness","Beshtala-Chanko"
2327,"The Nozzle","Drifter","None","None","None","Phase 2","The Void","Blue","Cowl","Smocker","Good King Maude","Light Grey Suit Integrity Amulet","None","None","Survivalist Guild"
2328,"Hull Breacher","Drifter","None","None","None","Phase 2","The Void","White","Foss","Vayon Worksuit","Rustler's Braincage","None","None","Utility Vest","The Pyramid Order"
2329,"Steady Hammer","Drifter","None","None","None","Phase 2","The Void","Yellow","Foss","Vayon Worksuit","Kipper","None","None","Utility Vest","Mesmegraph"
2330,"Roulette","Drifter","None","None","None","Phase 2","The Void","Yellow","Sacred Passage","Smocker","The Pillowcase","Yellow Drippy Charm","Bobpack","Simple Regulator","Beshtala Expatriation Roster"
2331,"The Shriek","Drifter","None","None","None","Phase 2","The Void","Red-Yellow","Cap Flag","Smocker","Boxhead","Light Grey Milo Charm","Fancypack","Heavy Duty Regulator","Survivalist Guild"
2332,"The (Fat) Koltso","Drifter","None","None","None","Phase 2","The Void","Red","Arvis Edition","Deverin Jacket","Hangtooth","None","The Sink","Encased Regulator","Combustible"
2333,"Bolt Harp","Drifter","None","None","Yes","Phase 2","The Void","Red","Solid","Kreegal Cloak","Headforge","None","Caddypack","Multiband Regulator","The Man Earlie Expeditionary Society"
2334,"Steady Hammer","Drifter","Driftcore Shades","None","Yes","Phase 2","The Void","Yellow","Sacred Passage","Smocker","Kipper","Yellow Air Supply Amulet","Little Huffy","Simple Regulator","Cross of the Round Power"
2335,"Hull Breacher","Drifter","None","None","None","Phase 2","The Void","Green","Solid","Deverin Jacket","The Stalker","None","The Sink","Heavy Duty Regulator","The Bench"
2336,"Trunker","Drifter","None","None","None","Phase 2","The Void","Yellow","Sacred Passage","Smocker","Headforge","Light Grey Suit Integrity Amulet","Fancypack","Simple Regulator","Deepsatch"
2337,"The (Fat) Koltso","Drifter","None","None","Yes","Phase 2","The Void","Yellow","Solid","Deverin Jacket","Good King Maude","None","Little Huffy","Fine Tool Harness","No Damage"
2338,"The Nozzle","Drifter","None","None","Yes","Phase 2","The Void","Red-Yellow","Cap Flag","Smocker","Good King Maude","None","Little Huffy","Heavy Duty Regulator","Cathedral"
2339,"The Shriek","Drifter","None","None","Yes","Phase 2","The Void","Black","Chords","Smocker","Headforge","Dark Grey Air Supply Amulet","Little Huffy","Multiband Regulator","Margul"
2340,"The Nozzle","Drifter","None","None","None","Phase 2","The Void","Black","Strapt","Duggie","The Spyhopper","None","None","Utility Vest","Engineers Guild"
2341,"Thruster","Drifter","None","None","None","Phase 2","The Void","Yellow","Solid","Deverin Jacket","Good King Maude","White Drippy Charm","Caddypack","Fine Tool Harness","No Damage"
2342,"The Koltso","Drifter","None","None","Yes","Phase 2","The Void","Gray","Solid","Vayon Worksuit","Puffy Face","None","Little Huffy","Simple Regulator","Machinist Social Club"
2343,"Bolt Harp","Drifter","None","None","Yes","Phase 2","The Void","Red","Arvis Edition","Deverin Jacket","Boxhead","Red Air Supply Amulet","Little Huffy","Encased Regulator","The Bench"
2344,"The Shriek","Drifter","None","None","None","Phase 2","The Void","Red","Cowl","Smocker","Trailmaker","None","The Sink","None","Gael"
2345,"Bolt Harp","Drifter","None","None","None","Phase 2","The Void","Red","Cap Flag","Smocker","Headforge","None","Fancypack","Multiband Regulator","The Path"
2346,"Wedge","Drifter","None","None","Yes","Phase 2","The Void","Yellow","Cowl","Smocker","The Stalker","Medium Grey Air Supply Amulet","Little Huffy","Heavy Duty Regulator","Deepsatch"
2347,"Prongseat","Drifter","Leergear","None","None","Phase 2","The Void","White","Sacred Passage","Smocker","Kipper","Dark Grey Air Supply Amulet","Bobpack","Encased Regulator","Topography Society"
2348,"Steady Hammer","Drifter","None","None","None","Phase 2","The Void","Red","Cowl","Smocker","Kipper","None","The Sink","Simple Regulator","Dark Ether House"
2349,"Death Beam","Drifter","Leergear","None","None","Phase 2","The Void","Yellow","Solid","Kreegal Cloak","Kipper","Light Grey Milo Charm","The Sink","Encased Regulator","Dugall Freight"
2350,"Chainflicker","Drifter","Driftcore Shades","None","None","Phase 2","The Void","Green","Solid","Kreegal Cloak","The Pillowcase","None","None","None","Beshtala Expatriation Roster"
2351,"Chainflicker","Drifter","None","None","None","Phase 2","The Void","Green","Sacred Passage","Smocker","Backstab Squeezebox","White Drippy Charm","Caddypack","Simple Regulator","Saddler Racing League"
2352,"The (Fat) Koltso","Drifter","None","None","Yes","Phase 2","The Void","Yellow","Solid","Kreegal Cloak","Boxhead","Yellow Drippy Charm","Caddypack","Encased Regulator","League of Channel"
2353,"Chainflicker","Drifter","None","None","None","Phase 2","The Void","Gray","Solid","Vayon Worksuit","The Spyhopper","White Drippy Charm","Caddypack","Heavy Duty Regulator","Dugall Freight"
2354,"The (Fat) Koltso","Drifter","None","None","Yes","Phase 2","The Void","White","Solid","Deverin Jacket","Hangtooth","Medium Grey Drippy Charm","Caddypack","Encased Regulator","Orbital Miners Guild"
2355,"Prongseat","Drifter","None","None","None","Phase 2","The Void","Gray","Solid","Smocker","Puffy Face","None","None","None","Free Fringe"
2356,"Trunker","Drifter","None","None","None","Phase 2","The Void","Gray","Chords","Smocker","Rustler's Braincage","None","The Sink","Encased Regulator","The Path"
2357,"Thruster","Drifter","None","None","None","Phase 2","The Void","Green","Cap Flag","Smocker","Headforge","White Drippy Charm","Caddypack","Heavy Duty Regulator","Free Fringe"
2358,"Faulk's Icepick","Drifter","None","None","Yes","Phase 2","The Void","Red","Solid","Kreegal Cloak","Rustler's Braincage","Yellow Air Supply Amulet","Little Huffy","Multiband Regulator","The Path"
2359,"Ball Claw","Drifter","None","None","Yes","Phase 2","The Void","Yellow","Cap Flag","Smocker","Kipper","None","Little Huffy","Simple Regulator","Venonauts"
2360,"Roulette","Drifter","None","None","Yes","Phase 2","The Void","Gray","Solid","Smocker","BC Shiner","Light Grey Decontamination Amulet","Caddypack","Simple Regulator","Cross of the Round Power"
2361,"Round Foot","Drifter","None","None","None","Phase 2","The Void","White","Cowl","Smocker","Hangtooth","Dark Grey Drippy Charm","Caddypack","Encased Regulator","House of Ourbous"
2362,"The Shriek","Drifter","None","None","None","Phase 2","The Void","Yellow","Solid","Deverin Jacket","Headforge","Light Grey Milo Charm","Fancypack","Multiband Regulator","Machinist Social Club"
2363,"The (Fat) Koltso","Drifter","None","None","Yes","Phase 2","The Void","Green","Sacred Passage","Smocker","Headforge","White Air Supply Amulet","Little Huffy","Heavy Duty Regulator","The Path"
2364,"Hull Breacher","Drifter","None","None","None","Phase 2","The Void","Green","Cap Flag","Smocker","Trailmaker","None","Fancypack","Heavy Duty Regulator","Union of Merchants"
2365,"The (Fat) Koltso","Drifter","None","None","Yes","Phase 2","The Void","Yellow","Solid","Kreegal Cloak","Headforge","None","Little Huffy","Encased Regulator","The Pyramid Order"
2366,"Hole Puncher","Drifter","None","None","Yes","Phase 2","The Void","Black","Chords","Smocker","The Stalker","None","Little Huffy","Multiband Regulator","Combustible"
2367,"Faulk's Icepick","Drifter","None","None","None","Phase 2","The Void","Yellow","Solid","Deverin Jacket","The Scaper","None","Bobpack","Multiband Regulator","Venonauts"
2368,"Trunker","Drifter","None","None","None","Phase 2","The Void","White","Solid","Deverin Jacket","Rustler's Braincage","None","The Sink","Heavy Duty Regulator","The Pyramid Order"
2369,"Steady Hammer","Drifter","None","None","None","Phase 2","The Void","Yellow","Solid","Deverin Jacket","Headforge","None","The Sink","Heavy Duty Regulator","Longhaulers"
2370,"Trunker","Drifter","None","None","Yes","Phase 2","The Void","Black","Solid","Vayon Worksuit","Good King Maude","White Air Supply Amulet","Little Huffy","Heavy Duty Regulator","The Bench"
2371,"Everdull Snippies","Drifter","Eye Patch","None","None","Phase 2","The Void","Black","Solid","Smocker","The Pillowcase","None","None","None","High Tox"
2372,"Trunker","Drifter","None","None","None","Phase 2","The Void","Gray","Ricochet","Vayon Worksuit","Puffy Face","Light Grey Suit Integrity Amulet","Fancypack","Simple Regulator","Mark Stay"
2373,"The (Fat) Koltso","Drifter","None","None","Yes","Phase 2","The Void","Red","Cowl","Smocker","Hardhat","Medium Grey Drippy Charm","Little Huffy","None","High Tox"
2374,"The Shriek","Drifter","None","None","None","Phase 2","The Void","Black","Solid","Vayon Worksuit","Headforge","None","The Sink","Heavy Duty Regulator","The Path"
2375,"The Shriek","Drifter","None","None","Yes","Phase 2","The Void","Red","Solid","Kreegal Cloak","Hangtooth","None","Caddypack","Multiband Regulator","Freebooters Flag"
2376,"The (Fat) Koltso","Drifter","None","None","Yes","Phase 2","The Void","Gray","Solid","Vayon Worksuit","The Stalker","Medium Grey Drippy Charm","Caddypack","Heavy Duty Regulator","The Bench"
2377,"The Nozzle","Drifter","None","None","Yes","Phase 2","The Void","Green","Solid","Deverin Jacket","Good King Maude","White Suit Integrity Amulet","Caddypack","Fine Tool Harness","Union of Merchants"
2378,"Bolt Harp","Drifter","None","None","None","Phase 2","The Void","Gray","Solid","Kreegal Cloak","Good King Maude","Light Grey Milo Charm","The Sink","Heavy Duty Regulator","Engineers Guild"
2379,"The Nozzle","Drifter","None","None","Yes","Phase 2","The Void","Yellow","Arvis Edition","Deverin Jacket","Good King Maude","None","Little Huffy","Multiband Regulator","Topography Society"
2380,"Hull Breacher","Drifter","None","None","None","Phase 2","The Void","Red","Arvis Edition","Deverin Jacket","Hangtooth","White Air Supply Amulet","Fancypack","Encased Regulator","Topography Society"
2381,"Hole Puncher","Drifter","None","None","None","Phase 2","The Void","Gray","Scripture","Kreegal Cloak","Puffy Face","Medium Grey Air Supply Amulet","Bobpack","Heavy Duty Regulator","Beshtala-Chanko"
2382,"Faulk's Icepick","Drifter","None","None","None","Phase 2","The Void","Yellow","Arvis Edition","Deverin Jacket","The Spyhopper","Light Grey Air Supply Amulet","The Sink","Multiband Regulator","House of Ourbous"
2383,"Hull Breacher","Drifter","None","None","None","Phase 2","The Void","Green","Cap Flag","Smocker","The Spyhopper","None","The Sink","Heavy Duty Regulator","No Damage"
2384,"Trunker","Drifter","None","None","None","Phase 2","The Void","Red","Foss","Vayon Worksuit","Hardhat","None","None","None","Topography Society"
2385,"Steady Hammer","Drifter","None","None","None","Phase 2","The Void","Yellow","Solid","Deverin Jacket","Backstab Squeezebox","Light Grey Suit Integrity Amulet","Fancypack","Fine Tool Harness","Longhaulers"
2386,"Hull Breacher","Drifter","None","None","None","Phase 2","The Void","Green","Solid","Prongshell","Headforge","None","None","None","Beshtala-Chanko"
2387,"The Nozzle","Drifter","Eye Patch","None","None","Phase 2","The Void","Gray","Ricochet","Vayon Worksuit","The Pillowcase","None","Bobpack","Simple Regulator","Cathedral"
2388,"The Shriek","Drifter","None","None","None","Phase 2","The Void","White","Solid","Deverin Jacket","Headforge","Light Grey Milo Charm","Bobpack","Encased Regulator","The Man Earlie Expeditionary Society"
2389,"Hole Puncher","Drifter","Leergear","None","None","Phase 2","The Void","Blue","Cowl","Smocker","The Pillowcase","Medium Grey Air Supply Amulet","The Sink","Multiband Regulator","The Pyramid Order"
2390,"The (Fat) Koltso","Drifter","None","None","None","Phase 2","The Void","Yellow","Cap Flag","Smocker","Good King Maude","Light Grey Suit Integrity Amulet","The Sink","Simple Regulator","Saddler Racing League"
2391,"Death Beam","Drifter","Hypervisor","None","Yes","Phase 2","The Void","Red","Cap Flag","Smocker","Kipper","None","Little Huffy","None","Cathedral"
2392,"Faulk's Icepick","Drifter","None","None","Yes","Phase 2","The Void","Green","Solid","Deverin Jacket","The Stalker","Light Grey Air Supply Amulet","Caddypack","Fine Tool Harness","Freebooters Flag"
2393,"Death Beam","Drifter","None","None","None","Phase 2","The Void","Green","Cowl","Smocker","The Spyhopper","None","Bobpack","Encased Regulator","Venonauts"
2394,"Hull Breacher","Drifter","None","None","None","Phase 2","The Void","Red","Solid","Prongshell","Hardhat","None","None","None","Topography Society"
2395,"Bolt Harp","Drifter","None","None","None","Phase 2","The Void","Blue","Sacred Passage","Smocker","Hardhat","None","None","None","Mark Stay"
2396,"Faulk's Icepick","Drifter","None","None","None","Phase 2","The Void","Yellow","Cap Flag","Smocker","The Spyhopper","None","Fancypack","Simple Regulator","The Pyramid Order"
2397,"Death Beam","Drifter","None","None","None","Phase 2","The Void","Gray","Scripture","Kreegal Cloak","The Scaper","None","Bobpack","Multiband Regulator","Cove Stalkers"
2398,"Hole Puncher","Drifter","None","None","None","Phase 2","The Void","Yellow","Solid","Deverin Jacket","The Scaper","Light Grey Suit Integrity Amulet","Fancypack","Fine Tool Harness","No Damage"
2399,"The Shriek","Drifter","None","None","None","Phase 2","The Void","Black","Solid","Vayon Worksuit","Trailmaker","Light Grey Milo Charm","Fancypack","Heavy Duty Regulator","House of Ourbous"
2400,"Trunker","Drifter","None","None","None","Phase 2","The Void","Red","Cap Flag","Smocker","Rustler's Braincage","Light Grey Milo Charm","The Sink","Multiband Regulator","Engineers Guild"
2401,"The Nozzle","Drifter","None","None","None","Phase 2","The Void","Green","Solid","Deverin Jacket","Trailmaker","Light Grey Suit Integrity Amulet","Bobpack","Fine Tool Harness","House of Ourbous"
2402,"The Shriek","Drifter","None","None","None","Phase 2","The Void","Green","Solid","Deverin Jacket","The Spyhopper","Medium Grey Sanity Amulet","Bobpack","Heavy Duty Regulator","Machinist Social Club"
2403,"The (Fat) Koltso","Drifter","None","None","Yes","Phase 2","The Void","Yellow","Arvis Edition","Deverin Jacket","Trailmaker","None","Caddypack","Multiband Regulator","Union of Merchants"
2404,"Thruster","Drifter","None","None","Yes","Phase 2","The Void","Blue","Cowl","Smocker","Headforge","White Air Supply Amulet","Little Huffy","Encased Regulator","Machinist Social Club"
2405,"Hull Breacher","Drifter","None","None","None","Phase 2","The Void","Black","Solid","Vayon Worksuit","Hangtooth","None","None","Utility Vest","Union of Merchants"
2406,"The Nozzle","Drifter","None","None","None","Phase 2","The Void","Gray","Solid","Deverin Jacket","Backstab Squeezebox","None","The Sink","Fine Tool Harness","Cathedral"
2407,"Bolt Harp","Drifter","None","None","None","Phase 2","The Void","Red","Solid","Prongshell","Good King Maude","None","None","None","Topography Society"
2408,"The (Fat) Koltso","Drifter","None","None","None","Phase 2","The Void","Green","Sacred Passage","Smocker","Headforge","Medium Grey Drippy Charm","The Sink","Simple Regulator","Beshtala-Chanko"
2409,"Ball Claw","Drifter","None","None","Yes","Phase 2","The Void","Red","Cap Flag","Smocker","The Spyhopper","Light Grey Decontamination Amulet","Caddypack","Heavy Duty Regulator","Roving Terror"
2410,"The (Fat) Koltso","Drifter","None","None","None","Phase 2","The Void","Yellow","Solid","Deverin Jacket","Good King Maude","Light Grey Suit Integrity Amulet","Fancypack","Heavy Duty Regulator","Combustible"
