id,"Headgear","Location","Backpack","Phase","Class","Headgear Accessory","Suit Accessory","Accessory","Suit Pattern","Suit Accessories","Suit","Suit Color","Graphic","Scrawls","Totem"
1988,"Headforge","The Void","Caddypack","Phase 2","Drifter","None","None","Hull Breacher","Cowl","None","Smocker","Yellow","Engineers Guild","Yes","None"
1989,"Trailmaker","The Void","Caddypack","Phase 2","Drifter","None","None","Cove Carver","Cap Flag","Multiband Regulator","Smocker","Green","The Transcendentalists","None","White Drippy Charm"
1990,"Boxhead","The Void","None","Phase 2","Drifter","None","None","The (Fat) Koltso","Solid","None","Prongshell","Yellow","Dugall Freight","None","None"
1991,"The Scaper","The Void","Little Huffy","Phase 2","Drifter","None","None","The Nozzle","Solid","Fine Tool Harness","Deverin Jacket","Yellow","Cathedral","Yes","Light Grey Suit Integrity Amulet"
1992,"Good King Maude","The Void","Bobpack","Phase 2","Drifter","None","None","The Nozzle","Sacred Passage","Heavy Duty Regulator","Smocker","Yellow","The Bench","None","None"
1993,"Hardhat","The Void","The Sink","Phase 2","Drifter","None","None","Trunker","Cowl","Heavy Duty Regulator","Smocker","Blue","Dark Ether House","None","Medium Grey Sanity Amulet"
1994,"Good King Maude","The Void","Caddypack","Phase 2","Drifter","None","None","Hull Breacher","Arvis Edition","Heavy Duty Regulator","Deverin Jacket","Gray","Engineers Guild","None","White Drippy Charm"
1995,"The Pillowcase","The Void","None","Phase 2","Drifter","None","None","Chainflicker","Sacred Passage","None","Smocker","Blue","The Pyramid Order","None","None"
1996,"Hangtooth","The Void","None","Phase 2","Drifter","None","None","The Shriek","Solid","None","Kreegal Cloak","Green","Freebooters Flag","None","Light Grey Milo Charm"
1997,"Hangtooth","The Void","The Sink","Phase 2","Drifter","None","None","Round Foot","Arvis Edition","Multiband Regulator","Deverin Jacket","Yellow","Venonauts","None","Light Grey Suit Integrity Amulet"
1998,"Rustler's Braincage","The Void","Fancypack","Phase 2","Drifter","None","None","Hull Breacher","Solid","Fine Tool Harness","Vayon Worksuit","Gray","Longhaulers","None","Light Grey Suit Integrity Amulet"
1999,"Hangtooth","The Void","None","Phase 2","Drifter","None","None","Trunker","Solid","None","Prongshell","White","Dugall Freight","None","None"
2000,"Rustler's Braincage","The Void","Caddypack","Phase 2","Drifter","None","None","Round Foot","Cap Flag","None","Smocker","Green","The Pyramid Order","Yes","None"
2001,"The Scaper","The Void","Fancypack","Phase 2","Drifter","None","None","Hull Breacher","Sacred Passage","Simple Regulator","Smocker","Yellow","Engineers Guild","None","Light Grey Suit Integrity Amulet"
2002,"Kipper","The Void","Caddypack","Phase 2","Drifter","None","None","Trunker","Solid","Encased Regulator","Kreegal Cloak","Yellow","Dark Ether House","None","Medium Grey Sanity Amulet"
2003,"Hangtooth","The Void","None","Phase 2","Drifter","None","None","The (Fat) Koltso","Foss","None","Vayon Worksuit","Red","The Man Earlie Expeditionary Society","None","None"
2004,"The Spyhopper","The Void","None","Phase 2","Drifter","None","None","Prongseat","Strapt","Utility Vest","Duggie","Black","Cross of the Round Power","None","Light Grey Decontamination Amulet"
2005,"Backstab Squeezebox","The Void","None","Phase 2","Drifter","None","None","Prongseat","Solid","Utility Vest","Vayon Worksuit","Black","Cross of the Round Power","None","None"
2006,"Hardhat","The Void","The Sink","Phase 2","Drifter","None","None","The Nozzle","Cowl","Simple Regulator","Smocker","Blue","The Borsch Conservatory of Gastrotechs","None","None"
2007,"Trailmaker","The Void","None","Phase 2","Drifter","None","None","Cove Carver","Foss","None","Vayon Worksuit","Red","Union of Merchants","None","None"
2008,"Kipper","The Void","None","Phase 2","Drifter","None","None","The Koltso","Sacred Passage","None","Smocker","Gray","Dark Ether House","None","None"
2009,"Puffy Face","The Void","None","Phase 2","Drifter","None","None","Death Beam","Foss","None","Vayon Worksuit","White","Mercenary","None","None"
2010,"Trailmaker","The Void","Bobpack","Phase 2","Drifter","None","None","Steady Hammer","Cap Flag","Simple Regulator","Smocker","Yellow","Lighthouse Sept","None","Medium Grey Sanity Amulet"
2011,"The Pillowcase","The Void","Bobpack","Phase 2","Drifter","Leergear","None","The Spunker","Sacred Passage","Simple Regulator","Smocker","Green","Beshtala-Chanko","None","None"
2012,"Hardhat","The Void","Bobpack","Phase 2","Drifter","None","None","Thruster","Solid","Multiband Regulator","Vayon Worksuit","Black","Slash Patcher","None","Dark Grey Decontamination Amulet"
2013,"The Pillowcase","The Void","Bobpack","Phase 2","Drifter","Driftcore Shades","None","Death Beam","Solid","Heavy Duty Regulator","Vayon Worksuit","Gray","The Man Earlie Expeditionary Society","None","Yellow Drippy Charm"
2014,"Headforge","The Void","None","Phase 2","Drifter","None","None","The (Fat) Koltso","Solid","None","Smocker","Gray","The Pyramid Order","None","Dark Grey Milo Charm"
2015,"The Pillowcase","The Void","Fancypack","Phase 2","Drifter","None","None","Steady Hammer","Cowl","Encased Regulator","Smocker","White","Venonauts","None","None"
2016,"Rustler's Braincage","The Void","None","Phase 2","Drifter","None","None","The Shriek","Foss","None","Vayon Worksuit","Red","Cathedral","None","None"
2017,"Rustler's Braincage","The Void","Fancypack","Phase 2","Drifter","None","None","Thruster","Solid","Multiband Regulator","Vayon Worksuit","Black","The Path","None","Light Grey Suit Integrity Amulet"
2018,"Hardhat","The Void","Fancypack","Phase 2","Drifter","None","None","Cove Carver","Cap Flag","Heavy Duty Regulator","Smocker","Red","Roving Terror","None","None"
2019,"Backstab Squeezebox","The Void","Caddypack","Phase 2","Drifter","None","None","The Nozzle","Ricochet","Heavy Duty Regulator","Vayon Worksuit","White","The Borsch Conservatory of Gastrotechs","Yes","Light Grey Suit Integrity Amulet"
2020,"Hangtooth","The Void","Caddypack","Phase 2","Drifter","None","None","The Shriek","Cap Flag","Heavy Duty Regulator","Smocker","Red-Yellow","The Man Earlie Expeditionary Society","Yes","None"
2021,"Puffy Face","The Void","Little Huffy","Phase 2","Drifter","None","None","Faulk's Icepick","Solid","Multiband Regulator","Vayon Worksuit","Black","Lighthouse Sept","Yes","Light Grey Air Supply Amulet"
2022,"Rustler's Braincage","The Void","None","Phase 2","Drifter","None","None","Thruster","Solid","Utility Vest","Vayon Worksuit","Gray","Dugall Freight","None","None"
2023,"Headforge","The Void","Fancypack","Phase 2","Drifter","None","None","Bolt Harp","Sacred Passage","Simple Regulator","Smocker","Yellow","The Pyramid Order","None","None"
2024,"Boxhead","The Void","Bobpack","Phase 2","Drifter","None","None","The (Fat) Koltso","Solid","None","Kreegal Cloak","Gray","Lighthouse Sept","None","Yellow Drippy Charm"
2025,"Puffy Face","The Void","Little Huffy","Phase 2","Drifter","None","None","The (Fat) Koltso","Sacred Passage","Simple Regulator","Smocker","Green","Free Fringe","Yes","Medium Grey Drippy Charm"
2026,"The Pillowcase","The Void","Bobpack","Phase 2","Drifter","None","None","Hull Breacher","Solid","Utility Vest","Vayon Worksuit","Black","The Forsaken","None","None"
2027,"Rustler's Braincage","The Void","Bobpack","Phase 2","Drifter","None","None","Bolt Harp","Solid","Heavy Duty Regulator","Vayon Worksuit","Gray","Longhaulers","None","Medium Grey Sanity Amulet"
2028,"The Stalker","The Void","The Sink","Phase 2","Drifter","None","None","Thruster","Solid","Fine Tool Harness","Deverin Jacket","Gray","League of Channel","None","Light Grey Milo Charm"
2029,"The Pillowcase","The Void","None","Phase 2","Drifter","None","None","Trunker","Solid","None","Smocker","Black","Saddler Racing League","None","None"
2030,"The Pillowcase","The Void","None","Phase 2","Drifter","Driftcore Shades","None","Chainflicker","Solid","None","Prongshell","Green","Roving Terror","None","None"
2031,"The Spyhopper","The Void","Fancypack","Phase 2","Drifter","None","None","Chainflicker","Solid","Fine Tool Harness","Vayon Worksuit","Gray","Orbital Miners Guild","None","None"
2032,"Puffy Face","The Void","The Sink","Phase 2","Drifter","None","None","Hole Puncher","Solid","Multiband Regulator","Smocker","Gray","Mark Stay","None","Medium Grey Air Supply Amulet"
2033,"Hangtooth","The Void","The Sink","Phase 2","Drifter","None","None","Bolt Harp","Cowl","None","Smocker","Red","Dark Ether House","None","None"
2034,"Rustler's Braincage","The Void","The Sink","Phase 2","Drifter","None","None","Hole Puncher","Cap Flag","Heavy Duty Regulator","Smocker","Red","Dugall Freight","None","None"
2035,"Trailmaker","The Void","Bobpack","Phase 2","Drifter","None","None","The (Fat) Koltso","Sacred Passage","Heavy Duty Regulator","Smocker","Green","Combustible","None","Medium Grey Drippy Charm"
2036,"The Stalker","The Void","Fancypack","Phase 2","Drifter","None","None","Thruster","Cap Flag","None","Smocker","Red","The Path","None","None"
2037,"BC Shiner","The Void","None","Phase 2","Drifter","Hypervisor","None","Ball Claw","Solid","None","Kreegal Cloak","Green","Dark Ether House","None","None"
2038,"Hardhat","The Void","Bobpack","Phase 2","Drifter","None","None","Steady Hammer","Cowl","Encased Regulator","Smocker","Green","Cross of the Round Power","None","Yellow Drippy Charm"
2039,"Kipper","The Void","Fancypack","Phase 2","Drifter","None","None","Steady Hammer","Solid","Multiband Regulator","Kreegal Cloak","Red","Orbital Miners Guild","None","None"
2040,"BC Shiner","The Void","None","Phase 2","Drifter","None","None","Chainflicker","Solid","None","Prongshell","Green","Dugall Freight","None","None"
2041,"Hangtooth","The Void","None","Phase 2","Drifter","None","None","Thruster","Solid","None","Kreegal Cloak","Black","Engineers Guild","None","None"
2042,"Trailmaker","The Void","The Sink","Phase 2","Drifter","None","None","The Nozzle","Solid","Heavy Duty Regulator","Kreegal Cloak","Red","Gael","None","None"
2043,"Good King Maude","The Void","Little Huffy","Phase 2","Drifter","None","None","The Nozzle","Solid","Heavy Duty Regulator","Kreegal Cloak","Red","Dark Ether House","Yes","Light Grey Suit Integrity Amulet"
2044,"Headforge","The Void","None","Phase 2","Drifter","None","None","Bolt Harp","Foss","None","Vayon Worksuit","Yellow","Machinist Social Club","None","None"
2045,"Rustler's Braincage","The Void","Bobpack","Phase 2","Drifter","None","None","Steady Hammer","Sacred Passage","Simple Regulator","Smocker","Gray","League of Channel","None","None"
2046,"Boxhead","The Void","Caddypack","Phase 2","Drifter","None","None","Steady Hammer","Solid","Simple Regulator","Deverin Jacket","Red","Dugall Freight","None","White Drippy Charm"
2047,"Boxhead","The Void","Caddypack","Phase 2","Drifter","None","None","The (Fat) Koltso","Ricochet","Heavy Duty Regulator","Vayon Worksuit","White","Mercenary","Yes","None"
2048,"Trailmaker","The Void","Bobpack","Phase 2","Drifter","None","None","Hull Breacher","Solid","Multiband Regulator","Deverin Jacket","Yellow","Mercenary","None","Yellow Drippy Charm"
2049,"Rustler's Braincage","The Void","None","Phase 2","Drifter","None","None","Bolt Harp","Solid","None","Prongshell","Red","League of Channel","None","None"
2050,"Hangtooth","The Void","Little Huffy","Phase 2","Drifter","None","None","Bolt Harp","Cap Flag","Heavy Duty Regulator","Smocker","Red","The Bench","Yes","Yellow Air Supply Amulet"
2051,"Hangtooth","The Void","Fancypack","Phase 2","Drifter","None","None","The (Fat) Koltso","Sacred Passage","Simple Regulator","Smocker","Yellow","Beshtala Expatriation Roster","None","White Air Supply Amulet"
2052,"Headforge","The Void","Little Huffy","Phase 2","Drifter","None","None","Steady Hammer","Solid","Heavy Duty Regulator","Deverin Jacket","Green","Free Fringe","Yes","None"
2053,"Rustler's Braincage","The Void","None","Phase 2","Drifter","None","None","Steady Hammer","Solid","None","Smocker","Gray","Mesmegraph","None","None"
2054,"Rustler's Braincage","The Void","None","Phase 2","Drifter","None","None","The (Fat) Koltso","Sacred Passage","None","Smocker","Red","League of Channel","None","Medium Grey Drippy Charm"
2055,"Headforge","The Void","The Sink","Phase 2","Drifter","None","None","The Shriek","Solid","Heavy Duty Regulator","Kreegal Cloak","Red","Roving Terror","None","Light Grey Milo Charm"
2056,"Hardhat","The Void","Caddypack","Phase 2","Drifter","None","None","The (Fat) Koltso","Solid","Multiband Regulator","Vayon Worksuit","Black","Cross of the Round Power","None","Dark Grey Air Supply Amulet"
2057,"Puffy Face","The Void","Caddypack","Phase 2","Drifter","None","None","Faulk's Icepick","Solid","Multiband Regulator","Deverin Jacket","Gray","High Tox","Yes","None"
2058,"Hardhat","The Void","None","Phase 2","Drifter","None","None","Trunker","Solid","None","Prongshell","Green","Saddler Racing League","None","None"
2059,"The Stalker","The Void","None","Phase 2","Drifter","None","None","Faulk's Icepick","Foss","None","Vayon Worksuit","Red","The Man Earlie Expeditionary Society","None","None"
2060,"The Spyhopper","The Void","None","Phase 2","Drifter","None","None","Hull Breacher","Solid","None","Prongshell","Green","Saddler Racing League","None","None"
2061,"Puffy Face","The Void","Bobpack","Phase 2","Drifter","None","None","Hole Puncher","Chords","Multiband Regulator","Smocker","Black","Grid Gang","None","Dark Grey Decontamination Amulet"
2062,"Hardhat","The Void","Caddypack","Phase 2","Drifter","None","None","Steady Hammer","Cap Flag","Heavy Duty Regulator","Smocker","Red-Yellow","Beshtala Expatriation Roster","Yes","Yellow Drippy Charm"
2063,"Hardhat","The Void","The Sink","Phase 2","Drifter","None","None","Hole Puncher","Solid","Simple Regulator","Deverin Jacket","Red","The Borsch Conservatory of Gastrotechs","None","None"
2064,"Hangtooth","The Void","None","Phase 2","Drifter","None","None","Hull Breacher","Solid","None","Prongshell","Red","Venonauts","None","None"
2065,"Good King Maude","The Void","Caddypack","Phase 2","Drifter","None","None","The Nozzle","Ricochet","Heavy Duty Regulator","Vayon Worksuit","White","Saddler Racing League","None","Light Grey Suit Integrity Amulet"
2066,"Hardhat","The Void","None","Phase 2","Drifter","None","None","The (Fat) Koltso","Solid","Utility Vest","Vayon Worksuit","Yellow","Grid Gang","None","Medium Grey Drippy Charm"
2067,"The Pillowcase","The Void","Little Huffy","Phase 2","Drifter","None","None","Roulette","Sacred Passage","Simple Regulator","Smocker","Yellow","Deepsatch","Yes","White Drippy Charm"
2068,"Kipper","The Void","Little Huffy","Phase 2","Drifter","None","None","Prongseat","Sacred Passage","Encased Regulator","Smocker","White","Beshtala Expatriation Roster","Yes","Dark Grey Air Supply Amulet"
2069,"Hangtooth","The Void","None","Phase 2","Drifter","None","None","Hull Breacher","Solid","Utility Vest","Vayon Worksuit","Yellow","Dark Ether House","None","None"
2070,"Hangtooth","The Void","Little Huffy","Phase 2","Drifter","None","None","Hull Breacher","Strapt","Simple Regulator","Duggie","Black","Saddler Racing League","Yes","None"
2071,"The Spyhopper","The Void","Caddypack","Phase 2","Drifter","None","None","The Koltso","Scripture","Multiband Regulator","Kreegal Cloak","Gray","Slash Patcher","None","White Drippy Charm"
2072,"Good King Maude","The Void","Little Huffy","Phase 2","Drifter","None","None","Hull Breacher","Cowl","Multiband Regulator","Smocker","Blue","The Bench","Yes","None"
2073,"BC Shiner","The Void","None","Phase 2","Drifter","Driftcore Shades","None","The Spunker","Solid","None","Prongshell","Green","The Pyramid Order","None","None"
2074,"Good King Maude","The Void","Caddypack","Phase 2","Drifter","None","None","The Nozzle","Solid","Fine Tool Harness","Deverin Jacket","Green","Survivalist Guild","Yes","Light Grey Suit Integrity Amulet"
2075,"Boxhead","The Void","Fancypack","Phase 2","Drifter","None","None","Bolt Harp","Sacred Passage","Simple Regulator","Smocker","Green","Combustible","None","None"
2076,"The Spyhopper","The Void","Fancypack","Phase 2","Drifter","None","None","The Nozzle","Cap Flag","Multiband Regulator","Smocker","Red","Beshtala Expatriation Roster","None","None"
2077,"The Spyhopper","The Void","Bobpack","Phase 2","Drifter","None","None","Death Beam","Cap Flag","Heavy Duty Regulator","Smocker","Red-Yellow","Grid Gang","None","None"
2078,"Backstab Squeezebox","The Void","The Sink","Phase 2","Drifter","None","None","The Koltso","Solid","Heavy Duty Regulator","Deverin Jacket","White","Orbital Miners Guild","None","Red Sanity Amulet"
2079,"Headforge","The Void","Fancypack","Phase 2","Drifter","None","None","Hull Breacher","Sacred Passage","Encased Regulator","Smocker","Gray","Longhaulers","None","None"
2080,"The Spyhopper","The Void","None","Phase 2","Drifter","None","None","Roulette","Sacred Passage","None","Smocker","Red","Cross of the Round Power","None","White Drippy Charm"
2081,"Good King Maude","The Void","Little Huffy","Phase 2","Drifter","None","None","Bolt Harp","Chords","Encased Regulator","Smocker","Gray","The Path","Yes","Yellow Air Supply Amulet"
2082,"Kipper","The Void","None","Phase 2","Drifter","Leergear","None","The Nozzle","Solid","None","Prongshell","Green","Orbital Miners Guild","None","None"
2083,"The Scaper","The Void","Little Huffy","Phase 2","Drifter","None","None","Chainflicker","Sacred Passage","Heavy Duty Regulator","Smocker","Yellow","House of Ourbous","Yes","None"
2084,"Soup Gagers","The Void","None","Phase 2","Drifter","None","None","Cove Carver","Solid","None","Smocker","Black","Wings","None","None"
2085,"The Spyhopper","The Void","Little Huffy","Phase 2","Drifter","None","None","Hull Breacher","Solid","Heavy Duty Regulator","Deverin Jacket","Green","Grid Gang","Yes","None"
2086,"The Pillowcase","The Void","Bobpack","Phase 2","Drifter","Eye Patch","None","Hull Breacher","Cowl","Simple Regulator","Smocker","Red","Dugall Freight","None","None"
2087,"Kipper","The Void","The Sink","Phase 2","Drifter","Leergear","None","Prongseat","Sacred Passage","Encased Regulator","Smocker","Gray","Mesmegraph","None","Dark Grey Air Supply Amulet"
2088,"The Spyhopper","The Void","None","Phase 2","Drifter","None","None","Prongseat","Solid","None","Kreegal Cloak","Yellow","The Path","None","None"
2089,"The Scaper","The Void","None","Phase 2","Drifter","None","None","Roulette","Foss","Utility Vest","Vayon Worksuit","Yellow","Slash Patcher","None","None"
2090,"The Pillowcase","The Void","Caddypack","Phase 2","Drifter","None","None","Faulk's Icepick","Solid","None","Kreegal Cloak","Gray","No Damage","Yes","Light Grey Air Supply Amulet"
2091,"The Spyhopper","The Void","None","Phase 2","Drifter","None","None","The Koltso","Sacred Passage","None","Smocker","Gray","The Borsch Conservatory of Gastrotechs","None","None"
2092,"Boxhead","The Void","Little Huffy","Phase 2","Drifter","None","None","The (Fat) Koltso","Arvis Edition","Multiband Regulator","Deverin Jacket","Yellow","Freebooters Flag","Yes","Medium Grey Drippy Charm"
2093,"The Pillowcase","The Void","None","Phase 2","Drifter","None","None","The (Fat) Koltso","Sacred Passage","None","Smocker","Red","Roving Terror","None","None"
2094,"The Scaper","The Void","None","Phase 2","Drifter","None","None","Hull Breacher","Solid","None","Kreegal Cloak","Yellow","Dugall Freight","None","None"
2095,"Heavy Queen Maude","The Void","Custom Henchman","Phase 2","Roving Terror","Amplifier","Roving Terror Ceremonial Knife","Grand Entrance","None","None","Terrorsuit","Roving Terror","Roving Terror","Yes","Crystal Air Supply Amulet"
2096,"The Scaper","The Void","Fancypack","Phase 2","Drifter","None","None","Everdull Snippies","Solid","Encased Regulator","Vayon Worksuit","Black","Dark Ether House","None","Light Grey Suit Integrity Amulet"
2097,"Puffy Face","The Void","Little Huffy","Phase 2","Drifter","None","None","Ball Claw","Solid","Multiband Regulator","Deverin Jacket","Gray","Margul","Yes","None"
2098,"The Scaper","The Void","Bobpack","Phase 2","Drifter","None","None","Death Beam","Cap Flag","Multiband Regulator","Smocker","Red","High Tox","None","Yellow Drippy Charm"
2099,"Rustler's Braincage","The Void","Bobpack","Phase 2","Drifter","None","None","Hull Breacher","Cowl","Encased Regulator","Smocker","Green","Longhaulers","None","None"
2100,"Hardhat","The Void","Fancypack","Phase 2","Drifter","None","None","Hole Puncher","Cowl","None","Smocker","White","No Damage","None","Dark Grey Sanity Amulet"
2101,"The Scaper","The Void","The Sink","Phase 2","Drifter","None","None","Trunker","Sacred Passage","Heavy Duty Regulator","Smocker","Yellow","Longhaulers","None","None"
2102,"Trailmaker","The Void","None","Phase 2","Drifter","None","None","The Nozzle","Solid","None","Prongshell","Green","Union of Merchants","None","None"
2103,"The Pillowcase","The Void","Fancypack","Phase 2","Drifter","Hypervisor","None","Hull Breacher","Cowl","Multiband Regulator","Smocker","Blue","Mesmegraph","None","Light Grey Suit Integrity Amulet"
2104,"Kipper","The Void","The Sink","Phase 2","Drifter","Leergear","None","Ball Claw","Cap Flag","Heavy Duty Regulator","Smocker","Red","Orbital Miners Guild","None","Red Sanity Amulet"
2105,"The Pillowcase","The Void","Little Huffy","Phase 2","Drifter","Eye Patch","None","Bolt Harp","Cap Flag","Simple Regulator","Smocker","Yellow","Union of Merchants","Yes","White Air Supply Amulet"
2106,"Kipper","The Void","None","Phase 2","Drifter","Driftcore Shades","None","Death Beam","Sacred Passage","None","Smocker","White","Saddler Racing League","None","None"
2107,"The Pillowcase","The Void","Little Huffy","Phase 2","Drifter","Driftcore Shades","None","The Koltso","Cowl","Simple Regulator","Smocker","Red","Roving Terror","Yes","None"
2108,"Rustler's Braincage","The Void","Bobpack","Phase 2","Drifter","None","None","Hull Breacher","Cowl","None","Smocker","White","The Pyramid Order","None","None"
2109,"The Scaper","The Void","Fancypack","Phase 2","Drifter","None","None","Wedge","Solid","Encased Regulator","Kreegal Cloak","Gray","The Path","None","Light Grey Suit Integrity Amulet"
2110,"Rustler's Braincage","The Void","Fancypack","Phase 2","Drifter","None","None","Hull Breacher","Solid","Heavy Duty Regulator","Vayon Worksuit","Gray","League of Channel","None","None"
2111,"Puffy Face","The Void","None","Phase 2","Drifter","None","None","Death Beam","Foss","Utility Vest","Vayon Worksuit","White","Margul","None","None"
2112,"The Spyhopper","The Void","The Sink","Phase 2","Drifter","None","None","The Nozzle","Solid","Fine Tool Harness","Deverin Jacket","White","High Tox","None","Light Grey Milo Charm"
2113,"Trailmaker","The Void","None","Phase 2","Drifter","None","None","The Nozzle","Sacred Passage","None","Smocker","Green","The Transcendentalists","None","None"
2114,"Headforge","The Void","Caddypack","Phase 2","Drifter","None","None","Thruster","Sacred Passage","Simple Regulator","Smocker","Yellow","Beshtala-Chanko","Yes","Yellow Drippy Charm"
2115,"Good King Maude","The Void","Caddypack","Phase 2","Drifter","None","None","Steady Hammer","Cap Flag","Heavy Duty Regulator","Smocker","Yellow","Beshtala Expatriation Roster","Yes","None"
2116,"Kipper","The Void","None","Phase 2","Drifter","Hypervisor","None","Hull Breacher","Foss","None","Vayon Worksuit","Red","The Man Earlie Expeditionary Society","None","None"
2117,"Headforge","The Void","Caddypack","Phase 2","Drifter","None","None","The Shriek","Cap Flag","Heavy Duty Regulator","Smocker","Green","Engineers Guild","None","White Drippy Charm"
2118,"Good King Maude","The Void","Little Huffy","Phase 2","Drifter","None","None","Bolt Harp","Solid","Heavy Duty Regulator","Kreegal Cloak","Green","Venonauts","Yes","White Air Supply Amulet"
2119,"Kipper","The Void","Little Huffy","Phase 2","Drifter","None","None","The Spunker","Solid","Heavy Duty Regulator","Vayon Worksuit","Black","The Path","Yes","Medium Grey Air Supply Amulet"
2120,"Boxhead","The Void","Little Huffy","Phase 2","Drifter","None","None","Trunker","Solid","Heavy Duty Regulator","Deverin Jacket","Green","Subsurface Miners Guild","Yes","Medium Grey Sanity Amulet"
2121,"Good King Maude","The Void","Little Huffy","Phase 2","Drifter","None","None","Hull Breacher","Solid","Simple Regulator","Deverin Jacket","Red","The Bench","Yes","None"
2122,"Rustler's Braincage","The Void","Little Huffy","Phase 2","Drifter","None","None","The Shriek","Sacred Passage","Encased Regulator","Smocker","Gray","Longhaulers","Yes","Dark Grey Sanity Amulet"
2123,"Rustler's Braincage","The Void","None","Phase 2","Drifter","None","None","Round Foot","Chords","None","Smocker","Black","The Man Earlie Expeditionary Society","None","None"
2124,"Good King Maude","The Void","Fancypack","Phase 2","Drifter","None","None","The Shriek","Cap Flag","Simple Regulator","Smocker","Yellow","Union of Merchants","None","Light Grey Suit Integrity Amulet"
2125,"Hardhat","The Void","Caddypack","Phase 2","Drifter","None","None","Hull Breacher","Solid","Utility Vest","Vayon Worksuit","Black","Mesmegraph","None","Dark Grey Drippy Charm"
2126,"Puffy Face","The Void","Fancypack","Phase 2","Drifter","None","None","Bolt Harp","Solid","Fine Tool Harness","Vayon Worksuit","Gray","Slash Patcher","None","Light Grey Suit Integrity Amulet"
2127,"Kipper","The Void","The Sink","Phase 2","Drifter","Hypervisor","None","Hole Puncher","Solid","Multiband Regulator","Vayon Worksuit","Gray","Topography Society","None","None"
2128,"Backstab Squeezebox","The Void","Bobpack","Phase 2","Drifter","None","None","The Nozzle","Solid","Encased Regulator","Kreegal Cloak","Yellow","Beshtala Expatriation Roster","None","Light Grey Suit Integrity Amulet"
2129,"The Pillowcase","The Void","None","Phase 2","Drifter","Driftcore Shades","None","Prongseat","Solid","None","Prongshell","Yellow","Cross of the Round Power","None","Light Grey Decontamination Amulet"
2130,"The Stalker","The Void","The Sink","Phase 2","Drifter","None","None","The Nozzle","Solid","Encased Regulator","Deverin Jacket","White","Deepsatch","None","Light Grey Suit Integrity Amulet"
2131,"Good King Maude","The Void","Fancypack","Phase 2","Drifter","None","None","Hull Breacher","Cap Flag","Multiband Regulator","Smocker","Red","House of Ourbous","None","None"
2132,"Boxhead","The Void","The Sink","Phase 2","Drifter","None","None","Steady Hammer","Solid","Multiband Regulator","Vayon Worksuit","Gray","League of Channel","None","Light Grey Milo Charm"
2133,"Rustler's Braincage","The Void","Little Huffy","Phase 2","Drifter","None","None","Bolt Harp","Solid","Multiband Regulator","Kreegal Cloak","Gray","Engineers Guild","Yes","White Air Supply Amulet"
2134,"Rustler's Braincage","The Void","The Sink","Phase 2","Drifter","None","None","Bolt Harp","Solid","Heavy Duty Regulator","Deverin Jacket","Green","The Pyramid Order","None","Light Grey Milo Charm"
2135,"Hardhat","The Void","None","Phase 2","Drifter","None","None","The (Fat) Koltso","Solid","Utility Vest","Vayon Worksuit","Black","Dark Ether House","None","Dark Grey Milo Charm"
2136,"Headforge","The Void","Fancypack","Phase 2","Drifter","None","None","Trunker","Cap Flag","None","Smocker","Red","Dugall Freight","None","None"
2137,"Kipper","The Void","None","Phase 2","Drifter","Driftcore Shades","None","Death Beam","Foss","None","Vayon Worksuit","White","The Pyramid Order","None","Yellow Drippy Charm"
2138,"Headforge","The Void","Little Huffy","Phase 2","Drifter","None","None","Hull Breacher","Sacred Passage","Simple Regulator","Smocker","Yellow","Mesmegraph","Yes","None"
2139,"Rustler's Braincage","The Void","The Sink","Phase 2","Drifter","None","None","The (Fat) Koltso","Cap Flag","Heavy Duty Regulator","Smocker","Red","The Man Earlie Expeditionary Society","None","Red Sanity Amulet"
2140,"Kipper","The Void","Caddypack","Phase 2","Drifter","Eye Patch","None","Hull Breacher","Solid","Heavy Duty Regulator","Vayon Worksuit","Black","Engineers Guild","None","White Drippy Charm"
2141,"Hardhat","The Void","Caddypack","Phase 2","Drifter","None","None","Bolt Harp","Cowl","None","Smocker","Red","Grid Gang","None","White Drippy Charm"
2142,"Rustler's Braincage","The Void","Bobpack","Phase 2","Drifter","None","None","The Shriek","Cap Flag","None","Smocker","Red","Dugall Freight","None","None"
2143,"The Pillowcase","The Void","Caddypack","Phase 2","Drifter","None","None","Hole Puncher","Sacred Passage","Heavy Duty Regulator","Smocker","Yellow","House of Ourbous","Yes","Medium Grey Air Supply Amulet"
2144,"Puffy Face","The Void","The Sink","Phase 2","Drifter","None","None","Hull Breacher","Cowl","None","Smocker","Red","The Borsch Conservatory of Gastrotechs","None","Light Grey Milo Charm"
2145,"The Stalker","The Void","Little Huffy","Phase 2","Drifter","None","None","The Shriek","Arvis Edition","Heavy Duty Regulator","Deverin Jacket","White","Dugall Freight","Yes","Yellow Air Supply Amulet"
2146,"Trailmaker","The Void","Little Huffy","Phase 2","Drifter","None","None","Bolt Harp","Scripture","Heavy Duty Regulator","Kreegal Cloak","Gray","Mercenary","Yes","Yellow Air Supply Amulet"
2147,"Hardhat","The Void","None","Phase 2","Drifter","None","None","Hull Hooker","Foss","None","Vayon Worksuit","Yellow","Slash Patcher","None","None"
2148,"The Scaper","The Void","None","Phase 2","Drifter","None","None","Hull Breacher","Sacred Passage","None","Smocker","Green","Survivalist Guild","None","None"
