id,"Accessory","Backpack","Class","Death","Graphic","Headgear","Headgear Accessory","Location","Phase","Scrawls","Suit","Suit Accessories","Suit Accessory","Suit Color","Suit Pattern","Totem"
2618,"Trunker","Caddypack","Drifter","None","League of Channel","Boxhead","None","The Void","Phase 2","Yes","Smocker","None","None","Green","Cap Flag","None"
2619,"Hull Breacher","None","Drifter","None","Lighthouse Sept","Boxhead","None","The Void","Phase 2","None","Prongshell","None","None","White","Solid","None"
2620,"The Koltso","Bobpack","Drifter","None","Freebooters Flag","The Spyhopper","None","The Void","Phase 2","None","Smocker","None","None","Yellow","Cowl","Yellow Drippy Charm"
2621,"The Nozzle","Little Huffy","Drifter","None","Cove Stalkers","Hardhat","None","The Void","Phase 2","Yes","Smocker","Heavy Duty Regulator","None","Blue","Cowl","Light Grey Suit Integrity Amulet"
2622,"The Shriek","None","Drifter","None","The Path","Good King Maude","None","The Void","Phase 2","None","Vayon Worksuit","Utility Vest","None","Gray","Solid","Light Grey Milo Charm"
2623,"The Spunker","None","Drifter","None","Roving Terror","The Pillowcase","None","The Void","Phase 2","None","Prongshell","None","None","Green","Solid","None"
2624,"The Spunker","The Sink","Drifter","None","Topography Society","The Scaper","None","The Void","Phase 2","None","Smocker","Encased Regulator","None","Gray","Chords","None"
2625,"Trunker","Fancypack","Drifter","None","House of Ourbous","Boxhead","None","The Void","Phase 2","None","Vayon Worksuit","Fine Tool Harness","None","Gray","Solid","Medium Grey Sanity Amulet"
2626,"Trunker","None","Drifter","None","Cross of the Round Power","The Scaper","None","The Void","Phase 2","None","Kreegal Cloak","None","None","Green","Solid","None"
2627,"Death Beam","Little Huffy","Drifter","None","The Pyramid Order","Kipper","None","The Void","Phase 2","Yes","Smocker","None","None","Green","Cap Flag","None"
2628,"Steady Hammer","The Sink","Drifter","None","Dugall Freight","Boxhead","None","The Void","Phase 2","None","Deverin Jacket","Heavy Duty Regulator","None","Gray","Arvis Edition","Red Sanity Amulet"
2629,"Hull Breacher","None","Drifter","None","Engineers Guild","Rustler's Braincage","None","The Void","Phase 2","None","Prongshell","None","None","Red","Solid","None"
2630,"The Nozzle","Bobpack","Drifter","None","Deepsatch","Puffy Face","None","The Void","Phase 2","None","Vayon Worksuit","Heavy Duty Regulator","None","Black","Solid","Medium Grey Sanity Amulet"
2631,"Faulk's Icepick","Little Huffy","Drifter","None","The Pyramid Order","The Spyhopper","None","The Void","Phase 2","Yes","Kreegal Cloak","Multiband Regulator","None","Gray","Scripture","White Air Supply Amulet"
2632,"Roulette","The Sink","Drifter","None","The Bench","The Pillowcase","None","The Void","Phase 2","None","Smocker","None","None","Yellow","Cowl","White Drippy Charm"
2633,"Thruster","None","Drifter","None","Beshtala Expatriation Roster","Hardhat","None","The Void","Phase 2","None","Smocker","None","None","White","Sacred Passage","None"
2634,"Thruster","Bobpack","Drifter","None","Cathedral","Headforge","None","The Void","Phase 2","None","Vayon Worksuit","Encased Regulator","None","Black","Solid","None"
2635,"Hull Breacher","The Sink","Drifter","None","Mercenary","Boxhead","None","The Void","Phase 2","None","Deverin Jacket","Encased Regulator","None","White","Solid","None"
2636,"Trunker","Caddypack","Drifter","None","Engineers Guild","Backstab Squeezebox","None","The Void","Phase 2","Yes","Deverin Jacket","Simple Regulator","None","White","Solid","Medium Grey Sanity Amulet"
2637,"Ball Claw","Bobpack","Drifter","None","Topography Society","Kipper","Driftcore Shades","The Void","Phase 2","None","Deverin Jacket","Encased Regulator","None","Red","Solid","None"
2638,"The Shriek","Little Huffy","Drifter","None","The Forsaken","Headforge","None","The Void","Phase 2","Yes","Deverin Jacket","Multiband Regulator","None","Yellow","Solid","None"
2639,"Hull Breacher","None","Drifter","None","Survivalist Guild","Good King Maude","None","The Void","Phase 2","None","Prongshell","None","None","Green","Solid","None"
2640,"The Shriek","Caddypack","Drifter","None","Dugall Freight","Boxhead","None","The Void","Phase 2","Yes","Smocker","Encased Regulator","None","Red","Sacred Passage","None"
2641,"Bolt Harp","The Sink","Drifter","None","Wings","Soup Gagers","None","The Void","Phase 2","None","Smocker","Encased Regulator","None","Black","Solid","None"
2642,"The Spunker","Fancypack","Drifter","None","Margul","Puffy Face","None","The Void","Phase 2","None","Smocker","Multiband Regulator","None","Black","Chords","Dark Grey Drippy Charm"
2643,"The Nozzle","None","Drifter","None","Mark Stay","Hardhat","None","The Void","Phase 2","None","Smocker","None","None","Blue","Cap Flag","Light Grey Suit Integrity Amulet"
2644,"Bolt Harp","Little Huffy","Drifter","None","Subsurface Miners Guild","Puffy Face","None","The Void","Phase 2","Yes","Vayon Worksuit","Heavy Duty Regulator","None","White","Ricochet","Yellow Air Supply Amulet"
2645,"Cove Carver","Little Huffy","Drifter","None","Survivalist Guild","Good King Maude","None","The Void","Phase 2","Yes","Kreegal Cloak","Multiband Regulator","None","Gray","Scripture","Medium Grey Air Supply Amulet"
2646,"Death Beam","Bobpack","Drifter","None","The Path","Kipper","Driftcore Shades","The Void","Phase 2","None","Kreegal Cloak","Heavy Duty Regulator","None","Green","Solid","Medium Grey Sanity Amulet"
2647,"Cove Carver","None","Drifter","None","Freebooters Flag","Good King Maude","None","The Void","Phase 2","None","Prongshell","None","None","White","Solid","None"
2648,"Steady Hammer","None","Drifter","None","Cathedral","Hangtooth","None","The Void","Phase 2","None","Prongshell","None","None","Red","Solid","None"
2649,"Ball Claw","Fancypack","Drifter","None","Margul","Puffy Face","None","The Void","Phase 2","None","Smocker","Simple Regulator","None","Black","Solid","Dark Grey Drippy Charm"
2650,"The Nozzle","The Sink","Drifter","None","Orbital Miners Guild","Hardhat","None","The Void","Phase 2","None","Smocker","Simple Regulator","None","Green","Sacred Passage","Light Grey Suit Integrity Amulet"
2651,"Hull Breacher","Little Huffy","Drifter","None","The Path","Headforge","None","The Void","Phase 2","Yes","Smocker","Heavy Duty Regulator","None","Yellow","Cowl","Medium Grey Air Supply Amulet"
2652,"Trunker","The Sink","Drifter","None","Lighthouse Sept","Puffy Face","None","The Void","Phase 2","None","Kreegal Cloak","Heavy Duty Regulator","None","Red","Solid","Light Grey Milo Charm"
2653,"Bolt Harp","Bobpack","Drifter","None","Union of Merchants","Boxhead","None","The Void","Phase 2","None","Smocker","Multiband Regulator","None","Red","Cap Flag","Yellow Drippy Charm"
2654,"The (Fat) Koltso","Little Huffy","Drifter","None","Freebooters Flag","Hangtooth","None","The Void","Phase 2","Yes","Kreegal Cloak","Heavy Duty Regulator","None","Red","Solid","Medium Grey Drippy Charm"
2655,"Coil Gun","Halleyforge Jetpack","Roving Terror","None","Roving Terror","The Bob","None","The Void","Phase 2","None","Terror Commander Cape","None","Jet Module","Roving Terror","None","None"
2656,"Hull Breacher","None","Drifter","None","Cathedral","Headforge","None","The Void","Phase 2","None","Vayon Worksuit","Utility Vest","None","Black","Solid","None"
2657,"Trunker","Little Huffy","Drifter","None","Cross of the Round Power","Hangtooth","None","The Void","Phase 2","Yes","Smocker","None","None","Green","Cap Flag","None"
2658,"Thruster","The Sink","Drifter","None","Combustible","Hangtooth","None","The Void","Phase 2","None","Deverin Jacket","Encased Regulator","None","Red","Solid","None"
2659,"Thruster","None","Drifter","None","Dugall Freight","Rustler's Braincage","None","The Void","Phase 2","None","Smocker","None","None","Black","Solid","None"
2660,"Steady Hammer","The Sink","Drifter","None","Venonauts","The Pillowcase","Driftcore Shades","The Void","Phase 2","None","Deverin Jacket","Heavy Duty Regulator","None","White","Solid","Light Grey Milo Charm"
2661,"Bolt Harp","None","Drifter","None","The Path","Good King Maude","None","The Void","Phase 2","None","Prongshell","None","None","Red","Solid","None"
2662,"The Shriek","Caddypack","Drifter","None","The Path","BC Shiner","None","The Void","Phase 2","Yes","Kreegal Cloak","Heavy Duty Regulator","None","Green","Solid","Light Grey Milo Charm"
2663,"Faulk's Icepick","Bobpack","Drifter","None","Dugall Freight","The Stalker","None","The Void","Phase 2","None","Smocker","Multiband Regulator","None","Green","Cap Flag","Light Grey Air Supply Amulet"
2664,"Steady Hammer","The Sink","Drifter","None","Roving Terror","Hardhat","None","The Void","Phase 2","None","Smocker","Multiband Regulator","None","Red","Cap Flag","None"
2665,"Steady Hammer","Fancypack","Drifter","None","League of Channel","Good King Maude","None","The Void","Phase 2","None","Deverin Jacket","Multiband Regulator","None","Yellow","Arvis Edition","Light Grey Suit Integrity Amulet"
2666,"The (Fat) Koltso","Little Huffy","Drifter","None","Cathedral","The Stalker","None","The Void","Phase 2","Yes","Vayon Worksuit","Heavy Duty Regulator","None","Gray","Solid","Red Air Supply Amulet"
2667,"The Shriek","None","Drifter","None","Machinist Social Club","Headforge","None","The Void","Phase 2","None","Prongshell","None","None","Yellow","Solid","None"
2668,"The (Fat) Koltso","None","Drifter","None","Engineers Guild","Rustler's Braincage","None","The Void","Phase 2","None","Prongshell","None","None","Green","Solid","None"
2669,"The (Fat) Koltso","Bobpack","Drifter","None","Saddler Racing League","Hangtooth","None","The Void","Phase 2","None","Vayon Worksuit","Simple Regulator","None","Gray","Ricochet","Dark Grey Milo Charm"
2670,"The (Fat) Koltso","Caddypack","Drifter","None","The Transcendentalists","Trailmaker","None","The Void","Phase 2","Yes","Deverin Jacket","Encased Regulator","None","Red","Arvis Edition","Medium Grey Drippy Charm"
2671,"Thruster","Bobpack","Drifter","None","Survivalist Guild","Rustler's Braincage","None","The Void","Phase 2","None","Smocker","None","None","White","Cowl","Dark Grey Decontamination Amulet"
2672,"The (Fat) Koltso","Caddypack","Drifter","None","Roving Terror","Headforge","None","The Void","Phase 2","Yes","Deverin Jacket","Encased Regulator","None","Red","Solid","Medium Grey Drippy Charm"
2673,"Seam Ripper","None","Drifter","None","Slash Patcher","The Scaper","None","The Void","Phase 2","None","Smocker","None","None","Gray","Sacred Passage","None"
2674,"Death Beam","Fancypack","Drifter","None","No Damage","The Spyhopper","None","The Void","Phase 2","None","Deverin Jacket","Encased Regulator","None","Red","Arvis Edition","Yellow Drippy Charm"
2675,"Roulette","Caddypack","Drifter","None","Longhaulers","The Pillowcase","Eye Patch","The Void","Phase 2","None","Smocker","Multiband Regulator","None","Green","Cap Flag","White Drippy Charm"
2676,"Steady Hammer","Fancypack","Drifter","None","Survivalist Guild","The Stalker","None","The Void","Phase 2","None","Deverin Jacket","Fine Tool Harness","None","Green","Solid","None"
2677,"The Shriek","Fancypack","Drifter","None","The Pyramid Order","Rustler's Braincage","None","The Void","Phase 2","None","Smocker","Simple Regulator","None","Gray","Chords","Light Grey Milo Charm"
2678,"Thruster","Caddypack","Drifter","None","Cross of the Round Power","The Pillowcase","None","The Void","Phase 2","Yes","Smocker","Encased Regulator","None","Gray","Sacred Passage","None"
2679,"Hull Hooker","The Sink","Drifter","None","Freebooters Flag","The Pillowcase","None","The Void","Phase 2","None","Deverin Jacket","Fine Tool Harness","None","Yellow","Solid","None"
2680,"The (Fat) Koltso","Little Huffy","Drifter","None","League of Channel","Boxhead","None","The Void","Phase 2","Yes","Vayon Worksuit","Heavy Duty Regulator","None","Black","Solid","Medium Grey Air Supply Amulet"
2681,"Kickback Bombshot","Bombshot Fuel Cell","Freight Wars Veterans","None","Dugall Freight","Dugall Freight Backstab Squeezebox","None","The Void","Phase 2","None","Dugall Freight Smocker","None","Powerjuice Mixer","Dugall","None","None"
2682,"The Koltso","Fancypack","Drifter","None","Grid Gang","The Spyhopper","None","The Void","Phase 2","None","Smocker","Encased Regulator","None","Black","Solid","None"
2683,"The (Fat) Koltso","None","Drifter","None","Venonauts","Kipper","None","The Void","Phase 2","None","Smocker","None","None","White","Cap Flag","Dark Grey Milo Charm"
2684,"Hull Breacher","The Sink","Drifter","None","Mercenary","Boxhead","None","The Void","Phase 2","None","Smocker","Multiband Regulator","None","Gray","Solid","Red Sanity Amulet"
2685,"Chainflicker","Little Huffy","Drifter","None","Saddler Racing League","Kipper","Leergear","The Void","Phase 2","Yes","Vayon Worksuit","Fine Tool Harness","None","Gray","Solid","Red Air Supply Amulet"
2686,"Faulk's Icepick","Caddypack","Drifter","None","Dark Ether House","The Spyhopper","None","The Void","Phase 2","Yes","Smocker","Heavy Duty Regulator","None","Yellow","Cap Flag","None"
2687,"Chainflicker","The Sink","Drifter","None","Beshtala-Chanko","The Pillowcase","Leergear","The Void","Phase 2","None","Smocker","Simple Regulator","None","Black","Chords","None"
2688,"Cove Carver","Little Huffy","Drifter","None","Combustible","The Stalker","None","The Void","Phase 2","Yes","Smocker","Heavy Duty Regulator","None","Green","Sacred Passage","White Air Supply Amulet"
2689,"The Nozzle","Fancypack","Drifter","None","Topography Society","Hardhat","None","The Void","Phase 2","None","Kreegal Cloak","Heavy Duty Regulator","None","Green","Solid","Light Grey Suit Integrity Amulet"
2690,"Steady Hammer","Little Huffy","Drifter","None","The Bench","Boxhead","None","The Void","Phase 2","Yes","Deverin Jacket","Heavy Duty Regulator","None","Yellow","Solid","Yellow Air Supply Amulet"
2691,"Trunker","Caddypack","Drifter","None","Roving Terror","The Pillowcase","Hypervisor","The Void","Phase 2","None","Smocker","None","None","Red","Cap Flag","Medium Grey Sanity Amulet"
2692,"The (Fat) Koltso","None","Drifter","None","Combustible","Good King Maude","None","The Void","Phase 2","None","Kreegal Cloak","None","None","Yellow","Solid","Medium Grey Drippy Charm"
2693,"The (Fat) Koltso","Little Huffy","Drifter","None","Dugall Freight","Boxhead","None","The Void","Phase 2","Yes","Smocker","None","None","Red","Cowl","Dark Grey Air Supply Amulet"
2694,"Thruster","None","Drifter","None","The Path","Boxhead","None","The Void","Phase 2","None","Vayon Worksuit","Utility Vest","None","Yellow","Foss","None"
2695,"Hole Puncher","Caddypack","Drifter","None","Union of Merchants","The Stalker","None","The Void","Phase 2","Yes","Duggie","Fine Tool Harness","None","Black","Strapt","Medium Grey Air Supply Amulet"
2696,"Faulk's Icepick","The Sink","Drifter","None","Dark Ether House","Kipper","Leergear","The Void","Phase 2","None","Deverin Jacket","Encased Regulator","None","Red","Solid","None"
2697,"Thruster","None","Drifter","None","Cross of the Round Power","Hangtooth","None","The Void","Phase 2","None","Kreegal Cloak","None","None","Gray","Scripture","None"
2698,"Faulk's Icepick","Little Huffy","Drifter","None","Saddler Racing League","The Spyhopper","None","The Void","Phase 2","Yes","Smocker","Multiband Regulator","None","Green","Cap Flag","White Air Supply Amulet"
2699,"Thruster","The Sink","Drifter","None","Saddler Racing League","Good King Maude","None","The Void","Phase 2","None","Kreegal Cloak","None","None","Gray","Solid","Red Sanity Amulet"
2700,"Faulk's Icepick","Fancypack","Drifter","None","Mark Stay","The Spyhopper","None","The Void","Phase 2","None","Deverin Jacket","Simple Regulator","None","White","Solid","Light Grey Air Supply Amulet"
2701,"Kickback Bombshot","Bombshot Fuel Cell","Freight Wars Veterans","None","Dugall Freight","Dugall Freight Trailmaker","None","The Void","Phase 2","None","Dugall Freight Smocker","None","Powerjuice Mixer","Dugall","None","None"
2702,"Roulette","None","Drifter","None","The Borsch Conservatory of Gastrotechs","Puffy Face","None","The Void","Phase 2","None","Vayon Worksuit","None","None","White","Foss","None"
2703,"The (Fat) Koltso","None","Drifter","None","The Path","Hangtooth","None","The Void","Phase 2","None","Smocker","None","None","Black","Chords","Dark Grey Milo Charm"
2704,"Faulk's Icepick","None","Drifter","None","The Bench","The Stalker","None","The Void","Phase 2","None","Vayon Worksuit","Utility Vest","None","Yellow","Solid","None"
2705,"Sash Strapper","Huffed Caddy","Roving Terror","None","Roving Terror","Deathscaper","Intimidation Vocoder","The Void","Phase 2","Yes","Stealth Pitchfork","None","Roving Terror Ceremonial Knife","Roving Terror","None","Carbon Air Supply Amulet"
2706,"Steady Hammer","None","Drifter","None","The Bench","Boxhead","None","The Void","Phase 2","None","Vayon Worksuit","None","None","Yellow","Foss","None"
2707,"The Nozzle","The Sink","Drifter","None","The Man Earlie Expeditionary Society","The Stalker","None","The Void","Phase 2","None","Deverin Jacket","Multiband Regulator","None","Yellow","Solid","Light Grey Milo Charm"
2708,"Hole Puncher","The Sink","Drifter","None","Grid Gang","Puffy Face","None","The Void","Phase 2","None","Vayon Worksuit","Multiband Regulator","None","Black","Solid","None"
2709,"Hull Breacher","Caddypack","Drifter","None","The Path","Rustler's Braincage","None","The Void","Phase 2","None","Duggie","Fine Tool Harness","None","Black","Strapt","White Drippy Charm"
2710,"Roulette","Fancypack","Drifter","None","Slash Patcher","BC Shiner","None","The Void","Phase 2","None","Kreegal Cloak","Multiband Regulator","None","Gray","Solid","Light Grey Suit Integrity Amulet"
2711,"Prongseat","None","Drifter","None","Dugall Freight","Rustler's Braincage","None","The Void","Phase 2","None","Vayon Worksuit","Utility Vest","None","Yellow","Solid","Light Grey Decontamination Amulet"
2712,"Steady Hammer","The Sink","Drifter","None","Combustible","Hangtooth","None","The Void","Phase 2","None","Smocker","None","None","Green","Cap Flag","Light Grey Suit Integrity Amulet"
2713,"Bolt Harp","Caddypack","Drifter","None","Dark Ether House","Good King Maude","None","The Void","Phase 2","None","Smocker","Simple Regulator","None","Red","Cowl","White Drippy Charm"
2714,"Hull Breacher","None","Drifter","None","Dugall Freight","Rustler's Braincage","None","The Void","Phase 2","None","Vayon Worksuit","Utility Vest","None","Yellow","Foss","None"
2715,"The Shriek","None","Drifter","None","The Path","Rustler's Braincage","None","The Void","Phase 2","None","Vayon Worksuit","None","None","Red","Foss","None"
2716,"Faulk's Icepick","Caddypack","Drifter","None","Engineers Guild","BC Shiner","Driftcore Shades","The Void","Phase 2","Yes","Deverin Jacket","Heavy Duty Regulator","None","White","Arvis Edition","Light Grey Air Supply Amulet"
2717,"The (Fat) Koltso","Fancypack","Drifter","None","Engineers Guild","Rustler's Braincage","None","The Void","Phase 2","None","Smocker","None","None","White","Cap Flag","Light Grey Suit Integrity Amulet"
2718,"Hull Breacher","Caddypack","Drifter","None","Beshtala-Chanko","The Stalker","None","The Void","Phase 2","Yes","Smocker","None","None","Green","Cap Flag","None"
2719,"Death Beam","Little Huffy","Drifter","None","No Damage","The Spyhopper","None","The Void","Phase 2","Yes","Kreegal Cloak","Encased Regulator","None","Yellow","Solid","Medium Grey Air Supply Amulet"
2720,"The Shriek","Caddypack","Drifter","None","Cathedral","The Pillowcase","None","The Void","Phase 2","None","Vayon Worksuit","Multiband Regulator","None","Black","Solid","Dark Grey Air Supply Amulet"
2721,"Ball Claw","None","Drifter","None","Topography Society","The Scaper","None","The Void","Phase 2","None","Prongshell","None","None","Red","Solid","None"
2722,"Roulette","Fancypack","Drifter","None","Beshtala Expatriation Roster","Kipper","Leergear","The Void","Phase 2","None","Smocker","Simple Regulator","None","Yellow","Cap Flag","White Air Supply Amulet"
2723,"Hull Breacher","None","Drifter","None","The Man Earlie Expeditionary Society","Rustler's Braincage","None","The Void","Phase 2","None","Smocker","None","None","Gray","Solid","None"
2724,"The (Fat) Koltso","None","Drifter","None","Union of Merchants","Hangtooth","None","The Void","Phase 2","None","Smocker","None","None","Green","Sacred Passage","None"
2725,"Hull Breacher","None","Drifter","None","Subsurface Miners Guild","Hardhat","None","The Void","Phase 2","None","Smocker","None","None","Blue","Cowl","None"
2726,"The Nozzle","Little Huffy","Drifter","None","The Borsch Conservatory of Gastrotechs","The Pillowcase","None","The Void","Phase 2","Yes","Kreegal Cloak","Multiband Regulator","None","Gray","Scripture","Light Grey Suit Integrity Amulet"
2727,"Hull Breacher","Fancypack","Drifter","None","League of Channel","Rustler's Braincage","None","The Void","Phase 2","None","Kreegal Cloak","Heavy Duty Regulator","None","White","Scripture","None"
2728,"The Spunker","Caddypack","Drifter","None","Cross of the Round Power","BC Shiner","None","The Void","Phase 2","Yes","Smocker","None","None","Green","Cap Flag","None"
2729,"Gilded Seam Ripper","Crusted Pipe Pack","Patron Saints of The Void","Saint of Decontamination","Sweet","Kipper No More","None","The Void","Phase 2","None","Gilded Prongshell","None","Gilded Disc Regulator","Gilded","None","None"
2730,"Steady Hammer","None","Drifter","None","The Path","Boxhead","None","The Void","Phase 2","None","Prongshell","None","None","Yellow","Solid","None"
2731,"The (Fat) Koltso","Caddypack","Drifter","None","The Pyramid Order","Kipper","Driftcore Shades","The Void","Phase 2","Yes","Smocker","Simple Regulator","None","Red","Cowl","Medium Grey Drippy Charm"
2732,"Kickback Bombshot","Bombshot Fuel Cell","Freight Wars Veterans","None","Dugall Freight","Dugall Freight Hangtooth","None","The Void","Phase 2","None","Dugall Freight Smocker","None","Powerjuice Mixer","Dugall","None","None"
2733,"Death Beam","Caddypack","Drifter","None","High Tox","The Scaper","None","The Void","Phase 2","Yes","Deverin Jacket","Encased Regulator","None","White","Solid","None"
2734,"The (Fat) Koltso","Caddypack","Drifter","None","Venonauts","Hardhat","None","The Void","Phase 2","None","Smocker","Multiband Regulator","None","White","Cap Flag","Dark Grey Drippy Charm"
2735,"The Nozzle","Caddypack","Drifter","None","Grid Gang","The Spyhopper","None","The Void","Phase 2","Yes","Deverin Jacket","Heavy Duty Regulator","None","White","Solid","Green Drippy Charm"
2736,"The Shriek","None","Drifter","None","High Tox","Hardhat","None","The Void","Phase 2","None","Smocker","None","None","Black","Solid","None"
2737,"Thruster","Caddypack","Drifter","None","Dark Ether House","Hangtooth","None","The Void","Phase 2","Yes","Vayon Worksuit","Heavy Duty Regulator","None","Gray","Solid","None"
2738,"Trunker","None","Drifter","None","Grid Gang","The Pillowcase","Driftcore Shades","The Void","Phase 2","None","Vayon Worksuit","Fine Tool Harness","None","Green","Foss","Medium Grey Sanity Amulet"
2739,"The Koltso","None","Drifter","None","Cross of the Round Power","Kipper","Leergear","The Void","Phase 2","None","Smocker","None","None","Green","Sacred Passage","None"
2740,"The Shriek","Caddypack","Drifter","None","Margul","Puffy Face","None","The Void","Phase 2","Yes","Kreegal Cloak","Multiband Regulator","None","Gray","Solid","Light Grey Milo Charm"
2741,"The (Fat) Koltso","None","Drifter","None","League of Channel","Rustler's Braincage","None","The Void","Phase 2","None","Vayon Worksuit","None","None","White","Foss","Medium Grey Drippy Charm"
2742,"Steady Hammer","Little Huffy","Drifter","None","Longhaulers","Rustler's Braincage","None","The Void","Phase 2","Yes","Vayon Worksuit","Multiband Regulator","None","Gray","Solid","None"
2743,"Hull Breacher","Little Huffy","Drifter","None","Topography Society","Good King Maude","None","The Void","Phase 2","Yes","Deverin Jacket","Heavy Duty Regulator","None","Green","Solid","None"
2744,"The Nozzle","None","Drifter","None","Combustible","Good King Maude","None","The Void","Phase 2","None","Vayon Worksuit","None","None","Yellow","Foss","None"
2745,"Faulk's Icepick","Little Huffy","Drifter","None","Roving Terror","The Pillowcase","Driftcore Shades","The Void","Phase 2","Yes","Smocker","None","None","Red","Cap Flag","Light Grey Air Supply Amulet"
2746,"Kickback Bombshot","Bombshot Fuel Cell","Freight Wars Veterans","None","Dugall Freight","Dugall Freight Pillowcase","Dugall Leergear","The Void","Phase 2","None","Dugall Freight Prongshell","None","Powerjuice Mixer","Dugall","None","None"
2747,"The (Fat) Koltso","The Sink","Drifter","None","Orbital Miners Guild","The Spyhopper","None","The Void","Phase 2","None","Kreegal Cloak","Encased Regulator","None","Yellow","Solid","Light Grey Suit Integrity Amulet"
2748,"Trunker","Bobpack","Drifter","None","The Forsaken","Headforge","None","The Void","Phase 2","None","Deverin Jacket","Encased Regulator","None","Red","Arvis Edition","None"
2749,"Wedge","Little Huffy","Drifter","None","No Damage","Backstab Squeezebox","None","The Void","Phase 2","Yes","Deverin Jacket","Fine Tool Harness","None","Gray","Solid","None"
2750,"Ball Claw","The Sink","Drifter","None","Orbital Miners Guild","The Pillowcase","Leergear","The Void","Phase 2","None","Vayon Worksuit","Heavy Duty Regulator","None","Gray","Solid","Light Grey Milo Charm"
2751,"The (Fat) Koltso","None","Drifter","None","Dugall Freight","Rustler's Braincage","None","The Void","Phase 2","None","Vayon Worksuit","None","None","Red","Foss","Medium Grey Drippy Charm"
2752,"Bolt Harp","None","Drifter","None","Longhaulers","Hardhat","None","The Void","Phase 2","None","Prongshell","None","None","Yellow","Solid","None"
2753,"Trunker","None","Drifter","None","Freebooters Flag","Boxhead","None","The Void","Phase 2","None","Vayon Worksuit","None","None","White","Foss","None"
2754,"The Shriek","Bobpack","Drifter","None","Mesmegraph","Rustler's Braincage","None","The Void","Phase 2","None","Kreegal Cloak","Heavy Duty Regulator","None","Gray","Solid","Light Grey Milo Charm"
2755,"Ball Claw","The Sink","Drifter","None","The Man Earlie Expeditionary Society","Rustler's Braincage","None","The Void","Phase 2","None","Deverin Jacket","Fine Tool Harness","None","Yellow","Solid","Light Grey Suit Integrity Amulet"
2756,"Chainflicker","Fancypack","Drifter","None","Deepsatch","Puffy Face","None","The Void","Phase 2","None","Vayon Worksuit","Encased Regulator","None","Black","Solid","Dark Grey Drippy Charm"
2757,"The Nozzle","The Sink","Drifter","None","The Man Earlie Expeditionary Society","Kipper","Eye Patch","The Void","Phase 2","None","Smocker","Encased Regulator","None","White","Cowl","Dark Grey Decontamination Amulet"
2758,"The Shriek","The Sink","Drifter","None","The Man Earlie Expeditionary Society","Rustler's Braincage","None","The Void","Phase 2","None","Vayon Worksuit","Heavy Duty Regulator","None","White","Ricochet","Red Sanity Amulet"
2759,"Hole Puncher","Caddypack","Drifter","None","The Borsch Conservatory of Gastrotechs","Puffy Face","None","The Void","Phase 2","None","Vayon Worksuit","Simple Regulator","None","Gray","Ricochet","Dark Grey Air Supply Amulet"
2760,"Hull Breacher","The Sink","Drifter","None","Dugall Freight","Boxhead","None","The Void","Phase 2","None","Kreegal Cloak","None","None","Gray","Solid","None"
2761,"The Nozzle","The Sink","Drifter","None","High Tox","Puffy Face","None","The Void","Phase 2","None","Kreegal Cloak","Multiband Regulator","None","Red","Solid","Light Grey Suit Integrity Amulet"
2762,"The Koltso","Fancypack","Drifter","None","Union of Merchants","The Pillowcase","None","The Void","Phase 2","None","Smocker","Simple Regulator","None","Yellow","Cap Flag","Light Grey Air Supply Amulet"
2763,"Ball Claw","The Sink","Drifter","None","Roving Terror","The Pillowcase","Eye Patch","The Void","Phase 2","None","Smocker","Simple Regulator","None","Red","Cowl","Red Sanity Amulet"
2764,"The Nozzle","The Sink","Drifter","None","Freebooters Flag","Trailmaker","None","The Void","Phase 2","None","Smocker","Simple Regulator","None","Black","Solid","Light Grey Suit Integrity Amulet"
2765,"The Shriek","The Sink","Drifter","None","Free Fringe","Headforge","None","The Void","Phase 2","None","Smocker","Heavy Duty Regulator","None","Red-Yellow","Cap Flag","Light Grey Milo Charm"
2766,"The Shriek","Fancypack","Drifter","None","League of Channel","The Stalker","None","The Void","Phase 2","None","Kreegal Cloak","Heavy Duty Regulator","None","Red","Solid","Light Grey Suit Integrity Amulet"
2767,"The Nozzle","None","Drifter","None","Mesmegraph","Rustler's Braincage","None","The Void","Phase 2","None","Prongshell","None","None","Green","Solid","None"
2768,"Hull Breacher","Bobpack","Drifter","None","Engineers Guild","Boxhead","None","The Void","Phase 2","None","Smocker","Simple Regulator","None","Yellow","Sacred Passage","None"
2769,"The Nozzle","Caddypack","Drifter","None","Dark Ether House","Hardhat","None","The Void","Phase 2","Yes","Smocker","Heavy Duty Regulator","None","Green","Cap Flag","None"
2770,"The (Fat) Koltso","Caddypack","Drifter","None","The Borsch Conservatory of Gastrotechs","Hardhat","None","The Void","Phase 2","Yes","Deverin Jacket","Encased Regulator","None","White","Solid","None"
2771,"The Nozzle","None","Drifter","None","Survivalist Guild","Good King Maude","None","The Void","Phase 2","None","Prongshell","None","None","Green","Solid","Light Grey Suit Integrity Amulet"
2772,"Hull Breacher","Little Huffy","Drifter","None","Survivalist Guild","Boxhead","None","The Void","Phase 2","Yes","Smocker","Heavy Duty Regulator","None","Red-Yellow","Cap Flag","None"
2773,"Trunker","Fancypack","Drifter","None","Mark Stay","Hardhat","None","The Void","Phase 2","None","Smocker","Heavy Duty Regulator","None","Yellow","Cowl","None"
